date,1. open,2. high,3. low,4. close,5. volume
2020-04-28 14:37:00,171.2848,171.31,171.06,171.06,60614.0
2020-04-28 14:38:00,171.06,171.205,171.06,171.15,44426.0
2020-04-28 14:39:00,171.17,171.18,171.11,171.15,42228.0
2020-04-28 14:40:00,171.1301,171.21,171.07,171.07,31959.0
2020-04-28 14:41:00,171.08,171.1872,171.05,171.15,33936.0
2020-04-28 14:42:00,171.1499,171.155,171.07,171.09,22010.0
2020-04-28 14:43:00,171.09,171.29,171.09,171.2628,39242.0
2020-04-28 14:44:00,171.2642,171.3,171.17,171.18,30238.0
2020-04-28 14:45:00,171.15,171.16,171.0,171.0236,67972.0
2020-04-28 14:46:00,171.01,171.1041,170.97,171.08,75293.0
2020-04-28 14:47:00,171.08,171.14,171.03,171.11,45015.0
2020-04-28 14:48:00,171.115,171.12,171.0,171.06,44648.0
2020-04-28 14:49:00,171.06,171.08,170.98,171.0,30194.0
2020-04-28 14:50:00,171.035,171.08,170.98,171.04,55821.0
2020-04-28 14:51:00,171.05,171.13,171.0,171.07,54242.0
2020-04-28 14:52:00,171.08,171.15,171.02,171.02,32447.0
2020-04-28 14:53:00,171.02,171.02,170.78,170.92,73618.0
2020-04-28 14:54:00,170.915,170.97,170.85,170.911,38908.0
2020-04-28 14:55:00,170.9166,170.9459,170.77,170.77,30824.0
2020-04-28 14:56:00,170.77,170.89,170.77,170.855,21637.0
2020-04-28 14:57:00,170.855,170.855,170.7301,170.7312,39320.0
2020-04-28 14:58:00,170.7606,170.86,170.73,170.7345,34145.0
2020-04-28 14:59:00,170.75,170.805,170.72,170.785,34808.0
2020-04-28 15:00:00,170.78,170.87,170.73,170.845,34353.0
2020-04-28 15:01:00,170.84,170.84,170.735,170.78,32424.0
2020-04-28 15:02:00,170.765,170.865,170.76,170.795,30724.0
2020-04-28 15:03:00,170.8,170.895,170.79,170.875,41570.0
2020-04-28 15:04:00,170.87,170.96,170.86,170.911,52685.0
2020-04-28 15:05:00,170.9136,170.94,170.8602,170.925,29948.0
2020-04-28 15:06:00,170.93,171.03,170.92,170.9338,52739.0
2020-04-28 15:07:00,170.95,171.01,170.9,170.9863,35496.0
2020-04-28 15:08:00,170.96,171.1,170.96,171.0652,42586.0
2020-04-28 15:09:00,171.08,171.13,171.02,171.1032,39695.0
2020-04-28 15:10:00,171.08,171.08,171.0,171.03,38768.0
2020-04-28 15:11:00,171.04,171.04,170.86,170.94,75625.0
2020-04-28 15:12:00,170.94,170.99,170.9,170.92,56860.0
2020-04-28 15:13:00,170.92,170.99,170.85,170.87,42437.0
2020-04-28 15:14:00,170.86,170.9999,170.86,170.955,49459.0
2020-04-28 15:15:00,170.97,171.05,170.93,170.95,45645.0
2020-04-28 15:16:00,170.93,171.0,170.84,170.93,57681.0
2020-04-28 15:17:00,170.95,171.023,170.89,171.02,37739.0
2020-04-28 15:18:00,171.015,171.03,170.94,170.96,41032.0
2020-04-28 15:19:00,170.96,171.06,170.95,171.04,49543.0
2020-04-28 15:20:00,171.0376,171.1129,171.01,171.0598,61644.0
2020-04-28 15:21:00,171.0308,171.47,171.01,171.2199,115056.0
2020-04-28 15:22:00,171.22,171.22,170.65,170.67,122630.0
2020-04-28 15:23:00,170.65,170.73,170.5,170.69,88360.0
2020-04-28 15:24:00,170.7,170.8199,170.7,170.73,80024.0
2020-04-28 15:25:00,170.71,170.79,170.67,170.7567,46812.0
2020-04-28 15:26:00,170.755,170.88,170.755,170.8401,46940.0
2020-04-28 15:27:00,170.84,170.98,170.79,170.875,68440.0
2020-04-28 15:28:00,170.88,170.96,170.85,170.9199,38855.0
2020-04-28 15:29:00,170.91,170.935,170.83,170.86,36050.0
2020-04-28 15:30:00,170.8708,170.9099,170.68,170.75,94932.0
2020-04-28 15:31:00,170.74,170.88,170.61,170.85,81968.0
2020-04-28 15:32:00,170.865,170.96,170.865,170.87,40719.0
2020-04-28 15:33:00,170.8502,170.95,170.82,170.92,50986.0
